Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
CR2,KNTC1,GZMH,SRA1,COX7A2L,,ITGB2,SIGLEC1,SDPR,HLA-DPA1,EMR3,LAMC1,STAP1,RAB38,MS4A2,PILRA,PTGER2,,PNPLA6,FAM49A,HSPA4,TNFRSF10C,IGF1,PRSS23,DPP4,CD7,ABCA1,TMPRSS3
TCL1A,NUF2,GZMK,TNFRSF6B,CREB3L4,,KLF5,TNFRSF11A,SIGLEC14,HLA-DPB1,,LCORL,TAGAP,PLAU,BASP1,,PTGES2,,TMBIM6,FASLG,HSPB6,VNN3,ITGA2B,PTGIR,LRRC32,CD96,ABCB1,GATA3
AKNA,PRC1,IL2RB,TREM1,CSF1,,LSP1,TOX4,SIGLEC6,IFI16,,LMNB1,ZCCHC2,CSF3R,IGSF6,,S100A8,,PQBP1,FCGR1A,ISM2,,GABARAP,ST8SIA4,MC5R,CFHR3,ADAMTS12,BIRC5
ARHGAP25,PSAT1,LCK,TREML1,CSNK2A2,,NDUFB9,UBA52,TAL1,LIME1,,MEIS3P1,,SLC18A2,HK3,,S100A9,,TEX264,FN1,ITIH2,,GPX1,STAB1,MICA,CHRM3,ANK1,CDC25C
CCL21,RGS1,MPZL1,RHOA,CSTA,,PKM2,ULBP1,TFEC,LTK,,MPL,,AMPD2,VNN1,,,,IKZF1,FSTL1,KDM4C,,KRT23,,NCAM1,CLEC7A,ANKRD22,CDC7
CD27,RTKN2,NKG7,SLC25A37,CSTB,,SFXN3,,TIPIN,NFKBIA,,FABP1,,CLTB,FES,,,,,FUCA1,KIR2DS4,,PROK2,,NCR2,COL23A1,B3GALT2,CENPF
CD38,SAMSN1,PIK3IP1,TNFSF14,CTPS,,SIRPG,,TPK1,SETD7,,FABP5,,C1orf162,NPL,,,,,GBP3,KIRREL3,,RALB,,NRP1,COL4A4,CAMTA1,CXCR6
CLEC17A,SELL,PTRH2,TREML4,CTSD,,SMAD4,,UQCRB,SIK1,,FADD,,,FZD2,,,,,GLS2,SDCBP,,RETNLB,,PDCD1LG2,COL5A3,CCR9,DHFR
CLEC9A,TRAT1,TIMM13,VNN2,FST,,STX4,,USP9Y,TRIB2,,MFAP3L,,,FAM198B,,,,,GRB2,NFATC2IP,,RNF141,,PDCD6,DAB1,CD40,EVI5
CLECL1,,ZAP70,XPO6,GATA2,,TRADD,,WIPF1,,,MINPP1,,,HNMT,,,,,LST1,MICB,,SEC14L1,,PRDX1,DLEU7,GPR44,GSTA4
,,,CLEC4C,GMPR,,VIM,,ZCRB1,,,RPS24,,,SLC15A3,,,,,BCL2,KIR2DL1,,SEPX1,,RAE1,DOC2B,IFT80,HELLS
,,,TNFAIP2,HDC,,XRCC6,,,,,RPS7,,,CD4,,,,,CDC5L,KIR2DL3,,EMP3,,RAET1E,EMP1,,IL26
,,,UBD,HEY1,,,,,,,RPS9,,,TXNDC3,,,,,FGF18,KIR3DL1,,CD300LF,,SIGLEC7,F12,,LAIR2
,,,ACTR3,HOXA1,,,,,,,DBNL,,,FRMD4A,,,,,FUT5,KIR3DL2,,ABTB1,,SIGLEC9,FURIN,,
,,,RAB1A,HS2ST1,,,,,,,CCL13,,,CRYBB1,,,,,FZR1,NCR1,,KLHL21,,TYRO3,GAB3,,
,,,SLA,HS3ST1,,,,,,,,,,HRH1,,,,,GAGE2,FOSL1,,PHRF1,,CHST12,GATM,,
,,,HLA-DQA2,BCL11B,,,,,,,,,,WNT5B,,,,,IGFBP5,TSLP,,,,CLIC3,GFPT2,,
,,,SIGLEC5,CDH3,,,,,,,,,,,,,,,KANK2,SLC7A7,,,,IVNS1ABP,GPR25,,
,,,SLAMF9,MYL6B,,,,,,,,,,,,,,,LDB3,SPP1,,,,KIR2DL2,GREM2,,
,,,,NAA16,,,,,,,,,,,,,,,,TREM2,,,,LGMN,HAVCR1,,
,,,,ClQA,,,,,,,,,,,,,,,,UBASH3A,,,,,HSD11B1,,
,,,,ClQB,,,,,,,,,,,,,,,,YBX2,,,,,HUNK,,
,,,,CYP27B1,,,,,,,,,,,,,,,,CCDC88A,,,,,IGF2,,
,,,,EIF3M,,,,,,,,,,,,,,,,CLEC1A,,,,,RCSD1,,
,,,,,,,,,,,,,,,,,,,,THBD,,,,,RYR1,,
,,,,,,,,,,,,,,,,,,,,PDPN,,,,,SAV1,,
,,,,,,,,,,,,,,,,,,,,VCAM1,,,,,SELE,,
,,,,,,,,,,,,,,,,,,,,EMR1,,,,,SELP,,
,,,,,,,,,,,,,,,,,,,,,,,,,SH3KBP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,SIT1,,
,,,,,,,,,,,,,,,,,,,,,,,,,SLC35B3,,
,,,,,,,,,,,,,,,,,,,,,,,,,SIGLEC10,,
,,,,,,,,,,,,,,,,,,,,,,,,,SKAP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,THUMPD2,,
,,,,,,,,,,,,,,,,,,,,,,,,,TIGIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,ZEB2,,
,,,,,,,,,,,,,,,,,,,,,,,,,ENC1,,
,,,,,,,,,,,,,,,,,,,,,,,,,FAM134B,,
,,,,,,,,,,,,,,,,,,,,,,,,,FBXO30,,
,,,,,,,,,,,,,,,,,,,,,,,,,FCGR2C,,
,,,,,,,,,,,,,,,,,,,,,,,,,STAC,,
,,,,,,,,,,,,,,,,,,,,,,,,,LTC4S,,
,,,,,,,,,,,,,,,,,,,,,,,,,MAN1B1,,
,,,,,,,,,,,,,,,,,,,,,,,,,MDH1,,
,,,,,,,,,,,,,,,,,,,,,,,,,MMD,,
,,,,,,,,,,,,,,,,,,,,,,,,,RGS16,,
,,,,,,,,,,,,,,,,,,,,,,,,,IL12A,,
,,,,,,,,,,,,,,,,,,,,,,,,,P2RX5,,
,,,,,,,,,,,,,,,,,,,,,,,,,CD97,,
,,,,,,,,,,,,,,,,,,,,,,,,,ITGB4,,
,,,,,,,,,,,,,,,,,,,,,,,,,ICAM3,,
,,,,,,,,,,,,,,,,,,,,,,,,,METRNL,,
,,,,,,,,,,,,,,,,,,,,,,,,,TNFRSF1A,,
,,,,,,,,,,,,,,,,,,,,,,,,,IRF1,,
,,,,,,,,,,,,,,,,,,,,,,,,,HTR2B,,
,,,,,,,,,,,,,,,,,,,,,,,,,CALD1,,
,,,,,,,,,,,,,,,,,,,,,,,,,MOCOS,,
,,,,,,,,,,,,,,,,,,,,,,,,,TRAF3IP2,,
,,,,,,,,,,,,,,,,,,,,,,,,,TLR8,,
,,,,,,,,,,,,,,,,,,,,,,,,,TRAF1,,
,,,,,,,,,,,,,,,,,,,,,,,,,DUSP14,,
