"StromalScore"	"ImmuneScore"	"ESTIMATEScore"	"TumorPurity"
"TCGA.3C.AAAU.01A.11R.A41B.07"	-707.891365630573	-903.396377353256	-1611.28774298383	0.932879939230174
"TCGA.3C.AALI.01A.11R.A41B.07"	125.540794860572	513.648419712554	639.189214573126	0.765606486562727
"TCGA.3C.AALJ.01A.31R.A41B.07"	403.127000438181	541.059736594111	944.186737032293	0.736047943388375
"TCGA.3C.AALK.01A.11R.A41B.07"	800.599338452437	-0.457582453029475	800.141755999407	0.750195433950776
"TCGA.4H.AAAK.01A.12R.A41B.07"	1076.44765680095	-43.6864252919827	1032.76123150897	0.727184741095767
"TCGA.5L.AAT0.01A.12R.A41B.07"	973.335208085466	668.398849582158	1641.73405766762	0.663001906884733
"TCGA.5L.AAT1.01A.12R.A41B.07"	828.856888318519	1456.98013832262	2285.83702664114	0.58936675353513
"TCGA.5T.A9QA.01A.11R.A41B.07"	-1669.48774509847	-808.148442224477	-2477.63618732295	0.971028391637828
"TCGA.A1.A0SB.01A.11R.A144.07"	-385.15543833039	-1438.00872150652	-1823.16415983691	0.943629186154256
"TCGA.A1.A0SD.01A.11R.A115.07"	773.221918346157	-115.031443397369	658.190474948789	0.763809215684894
"TCGA.A1.A0SE.01A.11R.A084.07"	510.126477607842	-615.88584885363	-105.759371245788	0.831239351324466
"TCGA.A1.A0SF.01A.11R.A144.07"	429.68618449296	282.188765549157	711.874950042117	0.758699302490514
"TCGA.A1.A0SG.01A.11R.A144.07"	546.119681730535	32.3948080681303	578.514489798665	0.771305579956961
"TCGA.A1.A0SH.01A.11R.A084.07"	1474.93190483824	-85.0683363325749	1389.86356850566	0.690220167384486
"TCGA.A1.A0SI.01A.11R.A144.07"	1267.31376322928	532.016608788027	1799.3303720173	0.64550805050636
"TCGA.A1.A0SJ.01A.11R.A084.07"	420.7073612926	-338.33125826482	82.37610302778	0.815572152196303
"TCGA.A1.A0SK.01A.12R.A084.07"	-1439.53193138856	-1719.83913930402	-3159.37107069258	0.990043865735726
"TCGA.A1.A0SM.01A.11R.A084.07"	794.490073587772	-26.3462826452468	768.143790942525	0.753292833541735
"TCGA.A1.A0SN.01A.11R.A144.07"	774.838124191209	590.152383014998	1364.99050720621	0.692857478183714
"TCGA.A1.A0SO.01A.22R.A084.07"	-1271.04342812671	-1026.07285275365	-2297.11628088036	0.964356119372085
"TCGA.A1.A0SP.01A.11R.A084.07"	-213.151730592542	412.819520797323	199.667790204781	0.805489024418903
"TCGA.A1.A0SQ.01A.21R.A144.07"	-230.699355963573	-305.895976087001	-536.595332050574	0.864711199360278
"TCGA.A2.A04N.01A.11R.A115.07"	761.12870140974	-313.407499079932	447.721202329808	0.783382134131576
"TCGA.A2.A04P.01A.31R.A034.07"	212.463510470706	614.701321102251	827.164831572957	0.747566709890881
"TCGA.A2.A04Q.01A.21R.A034.07"	810.780982917207	2360.30071126938	3171.08169418659	0.479716094678364
"TCGA.A2.A04R.01A.41R.A109.07"	-52.7502139843213	-1048.55113201773	-1101.30134600205	0.90332872606254
"TCGA.A2.A04T.01A.21R.A034.07"	-397.207869062584	534.536805730063	137.328936667479	0.810877981206907
"TCGA.A2.A04U.01A.11R.A115.07"	-355.10888300401	-799.313192608422	-1154.42207561243	0.906645963111215
"TCGA.A2.A04V.01A.21R.A034.07"	673.677900430444	-84.3801202996051	589.297780130839	0.770297177914536
"TCGA.A2.A04W.01A.31R.A115.07"	523.203049965229	-189.804639974429	333.3984099908	0.793701573207721
"TCGA.A2.A04X.01A.21R.A034.07"	124.417239317852	1134.91044594221	1259.32768526006	0.703957615273679
"TCGA.A2.A04Y.01A.21R.A034.07"	256.268165335081	753.36110008878	1009.62926542386	0.72951136069682
"TCGA.A2.A0CK.01A.11R.A22K.07"	382.685932884168	125.458186879522	508.14411976369	0.777838714029277
"TCGA.A2.A0CL.01A.11R.A115.07"	1293.37220082698	2348.83724576896	3642.20944659594	0.417938574482158
"TCGA.A2.A0CM.01A.31R.A034.07"	537.339177788811	1129.40596961944	1666.74514740825	0.660249016334982
"TCGA.A2.A0CO.01A.13R.A22K.07"	1071.3599704683	1358.29644759992	2429.65641806822	0.572181826624205
"TCGA.A2.A0CP.01A.11R.A034.07"	954.888719960957	-164.645449136728	790.243270824229	0.751155377431053
"TCGA.A2.A0CQ.01A.21R.A034.07"	-294.526288041322	294.92720238867	0.400914347347452	0.822475904484245
"TCGA.A2.A0CR.01A.11R.A22K.07"	972.217396297066	2459.37737753417	3431.59477383124	0.445820618550525
"TCGA.A2.A0CS.01A.11R.A115.07"	506.46535293922	31.9040261055054	538.369379044725	0.775042750553335
"TCGA.A2.A0CT.01A.31R.A056.07"	-366.924671606785	-610.996683333576	-977.921354940361	0.895412421120702
"TCGA.A2.A0CU.01A.12R.A034.07"	117.134159710132	-647.507695429791	-530.373535719658	0.86425212242753
"TCGA.A2.A0CV.01A.31R.A115.07"	751.826387154203	394.310624650812	1146.13701180501	0.715660632866269
"TCGA.A2.A0CW.01A.21R.A115.07"	-635.424101246493	22.9452771166571	-612.478824129836	0.870252126998135
"TCGA.A2.A0CX.01A.21R.A00Z.07"	897.211330076536	479.937234591315	1377.14856466785	0.691569501269504
"TCGA.A2.A0CY.01A.12R.A034.07"	-1113.6291100713	-1001.64054673776	-2115.26965680906	0.956950250707962
"TCGA.A2.A0CZ.01A.11R.A034.07"	1403.99163926385	586.226162444583	1990.21780170844	0.623857047208863
"TCGA.A2.A0D0.01A.11R.A00Z.07"	-1115.56906160595	356.014145648184	-759.554915957763	0.880683416779471
"TCGA.A2.A0D1.01A.11R.A034.07"	-434.234870004108	-886.683876511174	-1320.91874651528	0.916685133577232
"TCGA.A2.A0D2.01A.21R.A034.07"	27.4549666455863	460.682197864789	488.137164510376	0.779681023035102
"TCGA.A2.A0D3.01A.11R.A115.07"	-367.055171503273	-45.5701649637918	-412.625336467065	0.855428560283121
"TCGA.A2.A0D4.01A.11R.A00Z.07"	-524.855867480397	-989.920224652413	-1514.77609213281	0.927683797279783
"TCGA.A2.A0EM.01A.11R.A034.07"	589.731489731906	-355.801360945715	233.930128786191	0.802498424821865
"TCGA.A2.A0EN.01A.13R.A084.07"	1475.01127798334	1635.61962487635	3110.63090285969	0.487482904366573
"TCGA.A2.A0EO.01A.11R.A034.07"	1157.19815255696	339.811906345885	1497.01005890284	0.678754598218469
"TCGA.A2.A0EP.01A.52R.A22U.07"	1869.56103875515	2698.24144190441	4567.80248065956	0.291035208112153
"TCGA.A2.A0EQ.01A.11R.A034.07"	184.272667654271	1792.55570944435	1976.82837709862	0.625391886550212
"TCGA.A2.A0ER.01A.21R.A034.07"	-322.532764641283	-290.169108888415	-612.701873529699	0.87026825499527
