"StromalScore"	"ImmuneScore"	"ESTIMATEScore"	"TumorPurity"
"GSM282373"	424.775771197711	502.719957547077	927.495728744788	0.73770424104532
"GSM282374"	-586.377637734171	-90.2179578658842	-676.595595600055	0.874849731343225
"GSM282375"	994.862153693769	674.955028666052	1669.81718235982	0.659910272870253
"GSM282376"	665.56538452605	603.542849513026	1269.10823403908	0.702937216247393
"GSM282377"	275.216900491086	205.430235691495	480.647136182581	0.780369001393039
"GSM282378"	1035.8834576482	973.224137498798	2009.107595147	0.621687599870731
"GSM282379"	702.605915879366	981.374121520565	1683.98003739993	0.658346845841237
"GSM282380"	1364.09655092215	2990.68485574219	4354.78140666434	0.320803524763519
"GSM282381"	-18.1003958372535	102.619058303088	84.5186624658345	0.815390123081259
"GSM282382"	432.639825575919	431.812248622696	864.452074198615	0.743920214219903
"GSM282383"	1645.83384258135	916.597161512544	2562.43100409389	0.556090088236023
"GSM282384"	843.16884522763	388.253342094577	1231.42218732221	0.706860996960438
"GSM282385"	141.654108815982	821.822593362289	963.47670217827	0.734128240458025
"GSM282386"	434.83808988434	857.123969899789	1291.96205978413	0.700547245293433
"GSM282387"	890.881213492544	644.58029874211	1535.46151223465	0.674598884688912
"GSM282388"	935.557947131374	348.390575522133	1283.94852265351	0.701386171131117
"GSM282389"	1393.96404120119	1193.28418630343	2587.24822750461	0.553058726900619
"GSM282390"	1418.58364821953	444.466910013158	1863.05055823268	0.638336238893363
"GSM282391"	1101.89938817835	1978.65413693528	3080.55352511363	0.491333029760449
"GSM282392"	1249.07488964387	1259.21821824923	2508.2931078931	0.56267723282493
"GSM282393"	958.346575238542	1223.80533383052	2182.15190906906	0.601593549946494
"GSM282394"	49.9167809283573	417.647271468826	467.564052397183	0.781568452887341
"GSM282395"	290.519250705049	1013.33431301203	1303.85356371708	0.699300554506853
"GSM282396"	394.388291707346	392.107635308766	786.495927016112	0.751518376731556
"GSM282397"	698.719117959468	578.180112588493	1276.89923054796	0.702123349215208
"GSM282398"	-63.4147475771486	1688.7662528936	1625.35150531645	0.664800240500782
"GSM282399"	180.915022278629	719.984653928536	900.899676207165	0.74033429142745
"GSM282400"	1233.39775386346	1754.57979342789	2987.97754729135	0.503123005654148
"GSM282401"	352.079581799089	209.410258254805	561.489840053893	0.772893709334202
"GSM282402"	1171.97641661525	335.729082330666	1507.70549894591	0.677600833466261
"GSM282403"	335.777859472407	773.174363968288	1108.95222344069	0.719462289740717
"GSM282404"	85.3738066955846	396.658178704107	482.031985399691	0.780241870488552
"GSM282405"	575.372388405448	299.060254725181	874.432643130629	0.742940381739414
"GSM282406"	1718.71926202102	1286.21552530204	3004.93478732307	0.500970309591717
"GSM282407"	545.850169883764	633.503041838306	1179.35321172207	0.712246678996583
"GSM282408"	635.858156562818	523.446948431761	1159.30510499458	0.714309250004403
"GSM282409"	1120.60958282686	2044.75403286996	3165.36361569682	0.480452389138135
"GSM282410"	134.658384157855	375.590630844555	510.24901500241	0.777644497755667
"GSM282411"	1434.61616844233	1724.5879013826	3159.20406982492	0.481245150911605
"GSM282412"	1451.38398184018	922.774371139346	2374.15835297952	0.578843906509016
"GSM282413"	433.001325338198	1146.95126617267	1579.95259151087	0.669763616504531
"GSM282414"	448.857315383727	460.456121178844	909.313436562571	0.739503483454966
"GSM282415"	764.549585728189	240.776840500471	1005.32642622866	0.729943214490697
"GSM282416"	337.507171451719	793.30514039356	1130.81231184528	0.717229971778041
"GSM282417"	414.071126612365	462.835631448921	876.906758061286	0.7426972412343
"GSM282418"	-232.988517646925	522.388233473074	289.399715826149	0.797613744085901
"GSM282419"	-121.337850474311	136.814910084889	15.477059610578	0.821215135382911
"GSM282420"	1452.19809194791	1020.6873172185	2472.88540916642	0.566966215570593
"GSM282421"	1237.18087014496	859.458820457736	2096.63969060269	0.611572622692487
"GSM282422"	1153.7188695681	736.656783983421	1890.37565355153	0.63524360898987
"GSM282423"	1058.55010582117	954.261883765792	2012.81198958696	0.621261597972895
"GSM282424"	168.313913134159	452.686835117847	621.000748252006	0.767321298656545
"GSM282425"	1135.2508279351	1026.67163261629	2161.92246055139	0.603962896506257
"GSM282426"	1089.35246499551	845.013040235777	1934.36550523129	0.63024342843081
"GSM282427"	497.551637615514	3097.5270307073	3595.07866832282	0.424213583206031
"GSM282428"	-26.5386010588456	1060.82801320443	1034.28941214559	0.727030740731244
"GSM282429"	1272.20804313963	3070.56143821734	4342.76948135696	0.322473043334039
"GSM282430"	572.260505081782	282.926861071511	855.187366153293	0.744828338799731
"GSM282431"	370.153508304543	435.918381681268	806.071889985812	0.749619577744279
"GSM282432"	1050.12631487322	597.835392681278	1647.9617075545	0.662317283503091
"GSM282433"	1069.98473139065	1133.90755131314	2203.89228270379	0.599041325208547
"GSM282434"	1353.42376222095	1709.10315283366	3062.52691505461	0.493635983005462
"GSM282435"	-553.317510532045	967.387508189808	414.069997657763	0.786442729364633
"GSM282436"	-1.27200606460624	1981.26525153741	1979.99324547281	0.625029313224052
"GSM282437"	998.188955236049	2488.02227721388	3486.21123244993	0.438630116632776
"GSM282438"	1523.43845797692	2214.00416727424	3737.44262525116	0.405198462388851
"GSM282439"	865.161670093356	631.721625559203	1496.88329565256	0.678768262708745
"GSM282440"	461.712989289381	992.342102845857	1454.05509213524	0.683371461013004
"GSM282441"	467.080362164646	585.843573262407	1052.92393542705	0.725149930955396
"GSM282442"	-88.2635129552515	580.229060486798	491.965547531547	0.779329012185133
"GSM282443"	471.265215336677	461.742554465843	933.00776980252	0.737157754295966
"GSM282444"	390.260477423687	921.522761831109	1311.7832392548	0.698468032610836
"GSM282445"	1423.2398079824	1711.67277623445	3134.91258421685	0.484367735112517
"GSM282446"	-520.453889289429	-534.097898826231	-1054.55178811566	0.900363906513787
"GSM282447"	1328.99576943643	1538.12309374798	2867.11886318441	0.518374764351684
"GSM282448"	265.780064849754	1354.14703946278	1619.92710431253	0.66539483720082
"GSM282449"	93.6884533913991	126.867075843036	220.555529234435	0.803668250654808
"GSM282450"	76.9283728792851	1202.67026838628	1279.59864126556	0.701841147744135
"GSM282451"	732.837133892398	228.510115248923	961.347249141321	0.734340449123842
"GSM282452"	-298.481400800731	-113.583839650123	-412.065240450855	0.855385976221913
"GSM282453"	603.620681200775	978.582977667338	1582.20365886811	0.669518210667915
"GSM282454"	176.348084468767	1267.36284184835	1443.71092631712	0.68447921498437
"GSM282455"	529.25283094402	1322.07780398254	1851.33063492656	0.639659545279512
"GSM282456"	1576.86738012904	1511.31500855225	3088.18238868129	0.490357382710582
"GSM282457"	1137.53670454955	2073.02809623758	3210.56480078714	0.47462281478101
"GSM282458"	1020.15634230124	725.681612730398	1745.83795503164	0.651485132455001
"GSM282459"	1483.70517353134	626.729869773766	2110.43504330511	0.60996921534643
"GSM282460"	1370.49010345837	692.775665528499	2063.26576898687	0.615441224527606
"GSM282461"	425.576345262744	150.539379744572	576.115725007317	0.771529638369403
"GSM282462"	975.018702462057	1421.46407859041	2396.48278105247	0.576168638647188
"GSM282463"	-234.275140545233	-145.042717148568	-379.317857693801	0.852886153019451
"GSM282464"	-97.8973035572426	-5.8525744964754	-103.749878053718	0.831075336847702
"GSM282465"	1211.22683111422	2681.17016134006	3892.39699245429	0.384300850242072
"GSM282466"	1329.37405368526	277.942398032658	1607.31645171792	0.66677552515329
"GSM282467"	819.104410188194	622.723404073167	1441.82781426136	0.684680707236439
"GSM282468"	894.365149669533	1732.41763551517	2626.7827851847	0.548214538019823
"GSM282469"	504.549184699321	628.205037216	1132.75422191532	0.717031309474575
"GSM282470"	419.420023351201	348.888224136642	768.308247487843	0.753276956594004
"GSM282471"	637.78089988783	1172.62619964925	1810.40709953708	0.644265384224642
"GSM282472"	625.935131856752	1885.92269619245	2511.85782804921	0.562244589331914
"GSM282473"	360.518623602551	373.756531240305	734.275154842856	0.756553208238852
"GSM282474"	521.107926950222	2156.39114789099	2677.49907484121	0.541973235132068
"GSM282475"	1047.20048122764	1540.31509731911	2587.51557854675	0.55302603061302
"GSM282476"	720.948453913103	694.472996343456	1415.42145025656	0.687500660507848
"GSM282477"	793.587211988647	1764.30177549947	2557.88898748812	0.556644086410743
"GSM282478"	347.263459567147	486.662796322701	833.926255889848	0.746907137363389
"GSM282479"	390.91151526459	-163.382375472706	227.529139791884	0.803058681414975
"GSM282480"	434.17660424939	1513.66789080379	1947.84449505318	0.628706047112703
"GSM282481"	784.236029166962	159.308615021082	943.544644188043	0.73611174192158
"GSM282482"	1493.99480616822	2729.1477176877	4223.14252385592	0.33904425216998
"GSM282483"	1520.12725596755	2153.15759485655	3673.28485082411	0.413790222682472
"GSM282484"	707.159180287153	1694.50733783058	2401.66651811773	0.575546554682787
"GSM282485"	591.973381233732	738.989330437214	1330.96271167095	0.696450505175132
"GSM282486"	1492.54838814739	1351.47982749108	2844.02821563846	0.521270272173294
"GSM282487"	771.089275425806	762.993609191392	1534.0828846172	0.674748254717932
"GSM282488"	-507.279530965291	-277.714147529892	-784.993678495184	0.882446142937171
"GSM282489"	1159.79627161641	1162.921895763	2322.71816737942	0.584984577117297
"GSM282490"	339.254734415094	-3.49917442711042	335.755559987984	0.793491049979417
"GSM282491"	579.517928467564	1176.95289473346	1756.47082320102	0.650300234577577
"GSM282492"	1271.33133202399	1393.63837807201	2664.969710096	0.543517944425201
"GSM282493"	1350.69768619023	1881.78156295774	3232.47924914798	0.471788982739514
"GSM282494"	-792.273553908869	-512.87428892816	-1305.14784283703	0.915757586012196
"GSM282495"	-192.469359331189	611.489283899774	419.019924568585	0.785993732757704
"GSM282496"	1466.66385430911	1113.61647113385	2580.28032544296	0.553910581374906
"GSM282497"	194.922051788086	1634.01183197213	1828.93388376021	0.64218311229134
"GSM282498"	888.490129142035	195.450768278856	1083.94089742089	0.722007319103645
"GSM282499"	1192.93265463458	630.91406713477	1823.84672176935	0.642755344905131
"GSM282500"	1818.92317175468	1946.85681549707	3765.77998725175	0.401392145665172
"GSM282501"	79.1277484344725	-18.8008694466028	60.3268789878697	0.817440736084446
"GSM282502"	1030.97881298485	1965.73678743952	2996.71560042436	0.502014111426848
"GSM282503"	855.962164676836	-120.143160357413	735.819004319423	0.756404995238528
"GSM282504"	17.2429179894808	49.8631302353378	67.1060482248185	0.816867139241399
"GSM282505"	796.265533553005	148.496014106043	944.761547659048	0.735990824489229
"GSM282506"	450.914429686964	1186.17905762704	1637.093487314	0.66351169785606
"GSM282507"	1216.60982678168	1425.91141345261	2642.52124023429	0.546280950408925
"GSM282508"	1075.98246909896	1544.76953677738	2620.75200587635	0.548954689801726
"GSM282509"	821.507881860857	1343.91635219075	2165.4242340516	0.603553136620443
"GSM282510"	562.963733065828	732.284369408366	1295.24810247419	0.700202953840756
"GSM282511"	551.956209258971	2381.25593791475	2933.21214717373	0.510054032375638
"GSM282512"	1298.09306206819	890.563866411625	2188.65692847982	0.600830530280833
"GSM282513"	1386.43117638299	2006.67330120207	3393.10447758506	0.450870853569201
"GSM282514"	310.182342490057	397.622864189299	707.805206679356	0.759088332149232
"GSM282515"	1137.3591805683	1181.77830919908	2319.13748976738	0.585410782810971
"GSM282516"	1368.60499242621	698.601973749793	2067.206966176	0.614985140459606
"GSM282517"	1704.18594854588	1657.13916405768	3361.32511260356	0.455029720528002
"GSM282518"	524.563051893081	984.159865986022	1508.7229178791	0.677490992915751
"GSM282519"	678.313500512713	1155.04367548947	1833.35717600219	0.641685264427814
"GSM282520"	757.950012155311	755.365528221886	1513.3155403772	0.67699498536083
"GSM282521"	1119.51551462506	1424.28145487523	2543.79696950029	0.558361340089268
"GSM282522"	574.47136076718	1277.20031746536	1851.67167823254	0.639621064517439
"GSM282523"	1275.72817367767	2545.92801338838	3821.65618706606	0.393866485381561
"GSM282524"	994.44026509858	708.244062114906	1702.68432721349	0.656277734066479
"GSM282525"	97.5375315486311	598.521576711763	696.059108260394	0.760209630292354
"GSM282526"	1111.21558476713	1553.1106132305	2664.32619799763	0.543597231586094
"GSM282527"	1291.76076781096	2070.61272581992	3362.37349363088	0.454892679595663
"GSM282528"	860.69387167604	2077.25142494164	2937.94529661768	0.50945630697769
"GSM282529"	1002.21300095923	558.888715143552	1561.10171610278	0.671815819765736
